Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012,RSE indicator(a),% change since 2009,sig(b),trend since 2009(c)
1102,Milk and milk products excluding cheese,Other milk and cream,,Infant or baby milks - ready to drink,eq ml,0,0,2,1,0,0,10,2,1,2,13,4,ž,+268,,
1103,Milk and milk products excluding cheese,Other milk and cream,,Infant or baby milks - dried,eq ml,35,16,38,48,12,11,28,73,161,77,61,59,ž,-63,,
1201,Milk and milk products excluding cheese,Other milk and cream,Instant dried milk,,eq ml,13,23,5,13,17,11,7,12,19,8,18,0,ž,-100,yes,
13,Milk and milk products excluding cheese,Other milk and cream,Yoghurt and fromage frais,,ml,150,146,148,163,170,169,192,234,183,170,193,190,Ÿ,+4,,
1301,Milk and milk products excluding cheese,Other milk and cream,,Yoghurt,ml,134,129,131,147,150,153,168,214,167,147,170,170,Ÿ,+2,,
1302,Milk and milk products excluding cheese,Other milk and cream,,Fromage frais,ml,16,17,16,17,20,16,24,20,16,23,23,20,ž,+21,,
16,Milk and milk products excluding cheese,Other milk and cream,Other milks and dairy desserts,,ml,74,84,102,76,84,87,122,110,88,100,88,124,,+41,,
1603,Milk and milk products excluding cheese,Other milk and cream,,Dairy desserts - not frozen,ml,45,49,48,45,46,44,56,48,51,48,43,48,,-7,,
1605,Milk and milk products excluding cheese,Other milk and cream,,Dried milk products,ml,6,14,20,0,0,0,0,0,0,0,0,0,ž, , , 
1607,Milk and milk products excluding cheese,Other milk and cream,,Milk drinks and other milks (e),ml,27,24,37,15,20,21,24,19,18,27,28,42,ž,+138,,
1608,Milk and milk products excluding cheese,Other milk and cream,,Non-dairy milk substitutes (e),ml,,,,16,18,22,42,42,19,25,17,34,ž,+82,,
1701,Milk and milk products excluding cheese,Other milk and cream,Cream,,ml,15,18,17,17,17,13,19,17,21,21,16,20,,-5,,
22023,Cheese, ,,,g,106,100,106,90,123,112,122,124,116,111,113,107,Ÿ,-8,,
22,Cheese,Natural cheese,,,g,94,90,93,80,111,99,109,109,107,97,106,95,Ÿ,-11,,
2201,Cheese,Natural cheese,Hard cheese - cheddar type,,g,67,64,64,52,71,65,71,83,74,69,77,63,Ÿ,-15,,
2202,Cheese,Natural cheese,Hard cheese - other uk or foreign equivalent,,g,9,8,8,10,11,9,10,6,9,2,7,8,ž,-7,,
2203,Cheese,Natural cheese,Hard cheese - edam or other foreign,,g,4,6,4,5,7,6,7,5,6,8,6,7,,+15,,
2205,Cheese,Natural cheese,Cottage cheese,,g,8,6,8,5,10,6,4,4,6,4,3,4,ž,-32,,
2206,Cheese,Natural cheese,Soft natural cheese,,g,6,6,8,8,12,12,17,11,12,14,14,12,,+7,,
2301,Cheese,Processed cheese,,,g,12,10,14,10,12,13,14,15,9,13,7,11,,+23,,
31041,Carcase meat, ,,,g,230,222,228,277,222,230,226,291,200,181,241,195,Ÿ,-3,,
31,Carcase meat,Beef and veal,,,g,111,102,123,117,124,121,113,159,108,90,125,87,Ÿ,-20,,
3102,Carcase meat,Beef and veal,Beef joints - on the bone,,g,1,4,2,1,3,4,0,1,1,0,0,0,ž,-100,,
3103,Carcase meat,Beef and veal,Beef joints - boned,,g,40,19,36,32,39,29,36,37,33,13,36,22,ž,-33,,
3104,Carcase meat,Beef and veal,Beef steak - less expensive,,g,12,12,22,17,16,20,11,28,19,15,20,14,ž,-26,,
3105,Carcase meat,Beef and veal,Beef steak - more expensive,,g,25,28,23,26,28,27,29,31,13,25,12,13,,+7,,
3106,Carcase meat,Beef and veal,Minced beef,,g,29,37,38,38,37,42,37,60,42,34,57,37,,-11,,
3107,Carcase meat,Beef and veal,All other beef and veal,,g,4,2,2,2,1,0,1,4,0,2,0,0,ž,-100,,
36,Carcase meat,Mutton and lamb,,,g,58,59,54,103,40,61,43,57,29,43,40,48,,+62,,
3601,Carcase meat,Mutton and lamb,Mutton,,g,0,3,0,2,0,0,0,0,0,0,0,0,ž, , , 
3602,Carcase meat,Mutton and lamb,Lamb joints,,g,33,32,23,83,23,36,28,34,19,26,25,31,ž,+64,,
3603,Carcase meat,Mutton and lamb,Lamb chops,,g,19,19,22,14,15,19,12,18,8,10,13,12,ž,+56,,
3604,Carcase meat,Mutton and lamb,All other lamb,,g,6,5,8,5,2,6,3,5,3,6,2,5,ž,+68,,
41,Carcase meat,Pork,,,g,61,61,52,57,59,47,71,74,62,48,76,60,,-4,,
4101,Carcase meat,Pork,Pork joints,,g,17,22,8,19,15,20,35,25,24,17,17,19,ž,-18,,
4102,Carcase meat,Pork,Pork chops,,g,27,19,17,25,19,12,13,18,12,11,20,10,ž,-16,,
4103,Carcase meat,Pork,Pork fillets and steaks,,g,14,14,15,6,11,10,14,19,11,8,19,21,,+83,yes,k
4104,Carcase meat,Pork,All other pork,,g,3,6,11,7,14,5,8,12,16,12,19,10,ž,-37,,
46095,Non-carcase meat and meat products, ,,,g,991,848,900,906,942,823,900,898,879,863,"1,030",884,ŸŸ,+1,,
46,Non-carcase meat and meat products,Liver,,,g,2,2,7,6,8,4,4,2,5,3,11,2,ž,-66,,
4603,Non-carcase meat and meat products,Liver,Ox liver,,g,0,0,4,0,4,0,0,0,0,0,0,0,ž,-100,,
4604,Non-carcase meat and meat products,Liver,Lambs liver,,g,2,1,1,5,3,2,3,2,4,3,7,1,ž,-69,,
4605,Non-carcase meat and meat products,Liver,Pigs liver,,g,0,0,1,1,1,1,1,0,1,0,0,0,ž,-68,,
4607,Non-carcase meat and meat products,Liver,All other liver,,g,0,0,0,0,0,0,0,0,0,0,5,0,ž,+44,,
5101,Non-carcase meat and meat products,All offal other than liver,,,g,4,6,2,5,6,2,0,1,1,1,2,6,ž,+493,,
55,Non-carcase meat and meat products,"Bacon and ham, uncooked",,,g,82,76,80,89,95,67,61,83,67,84,89,80,,+20,,
5502,Non-carcase meat and meat products,"Bacon and ham, uncooked","Bacon and ham joints, uncooked",,g,30,22,30,38,34,16,19,29,21,34,41,35,,+68,,k
5505,Non-carcase meat and meat products,"Bacon and ham, uncooked","Bacon and ham rashers, uncooked",,g,51,54,50,51,61,51,42,54,46,51,48,45,Ÿ,-2,,
5801,Non-carcase meat and meat products,"Bacon and ham, cooked",,,g,60,45,54,52,53,48,47,52,49,45,55,46,Ÿ,-6,,
59,Non-carcase meat and meat products,Cooked poultry not purchased in cans,,,g,60,48,51,63,53,51,48,61,47,32,53,46,,-3,,
5903,Non-carcase meat and meat products,Cooked poultry not purchased in cans,"Chicken and turkey, cooked",,g,56,45,45,60,51,47,44,59,42,27,48,38,,-9,,
5904,Non-carcase meat and meat products,Cooked poultry not purchased in cans,Takeaway chicken,,g,4,3,7,4,2,4,4,2,5,5,5,8,ž,+55,,
6201,Non-carcase meat and meat products,"Corned beef, canned or sliced",,,g,14,17,13,20,20,15,17,12,20,13,12,12,,-39,,
6601,Non-carcase meat and meat products,Other cooked meat,,,g,17,9,10,13,11,12,15,12,16,14,14,19,,+16,,
7102,Non-carcase meat and meat products,Other canned meat and canned meat products,,,g,52,56,53,58,54,37,32,32,36,46,44,24,,-34,,
7401,Non-carcase meat and meat products,"Chicken, uncooked - whole chicken or chicken pieces",,,g,207,151,163,176,184,173,200,211,160,184,234,202,,+26,,k
77,Non-carcase meat and meat products,"Other poultry, uncooked (including frozen)",,,g,25,27,33,26,42,25,39,38,23,19,9,25,ž,+9,,
7703,Non-carcase meat and meat products,"Other poultry, uncooked (including frozen)","Turkey, uncooked - whole turkey or turkey pieces",,g,25,23,30,23,34,23,37,20,23,16,6,21,ž,-10,,
7704,Non-carcase meat and meat products,"Other poultry, uncooked (including frozen)","Poultry other than chicken or turkey, uncooked",,g,0,5,4,3,8,3,2,18,0,2,3,5,ž,"+1,659",,
7801,Non-carcase meat and meat products,"Other fresh, chilled and frozen meat",,,g,1,0,1,0,1,0,3,3,2,1,0,0,ž,-86,,
7901,Non-carcase meat and meat products,"Sausages, uncooked - pork",,,g,49,64,61,55,57,58,61,64,61,55,68,65,,+6,,
8001,Non-carcase meat and meat products,"Sausages, uncooked - beef and other sausages",,,g,18,5,7,3,8,5,6,0,4,5,4,4,ž,+10,,
83,Non-carcase meat and meat products,"Meat pies and sausage rolls, ready to eat",,,g,66,55,34,36,19,22,29,36,28,22,41,19,,-32,,
8302,Non-carcase meat and meat products,"Meat pies and sausage rolls, ready to eat","Meat pies, ready to eat",,g,54,47,25,22,12,10,12,18,15,10,19,10,,-37,,
8303,Non-carcase meat and meat products,"Meat pies and sausage rolls, ready to eat","Sausage rolls, ready to eat",,g,12,8,10,14,7,13,17,18,13,12,22,10,ž,-27,,
8401,Non-carcase meat and meat products,"Meat pies, pasties and puddings, frozen or not frozen",,,g,43,33,41,45,64,53,54,53,62,56,93,52,,-17,,
8501,Non-carcase meat and meat products,"Burgers, frozen or not frozen",,,g,28,25,26,21,23,23,25,19,22,19,28,26,,+17,,
89,Non-carcase meat and meat products,Ready meals and convenience meat products,,,g,166,161,187,171,170,146,180,157,190,190,197,186,Ÿ,-2,,
8901,Non-carcase meat and meat products,Ready meals and convenience meat products,"Complete meat-based ready meals, frozen or not frozen",,g,100,100,120,113,106,90,108,92,115,105,116,98,,-15,,
8902,Non-carcase meat and meat products,Ready meals and convenience meat products,"Other convenience meat products, frozen or not frozen",,g,66,61,67,59,64,56,72,64,75,85,81,88,,+17,,
93,Non-carcase meat and meat products,Pate and delicatessen type sausage,,,g,14,9,11,11,13,12,15,16,14,16,12,13,,-3,,
9301,Non-carcase meat and meat products,Pate and delicatessen type sausage,Pate,,g,3,2,2,5,3,2,3,5,4,3,4,5,,+28,,
9302,Non-carcase meat and meat products,Pate and delicatessen type sausage,Delicatessen type sausages,,g,11,7,9,6,10,10,11,10,10,13,8,9,ž,-14,,
9403,Non-carcase meat and meat products,Meat pastes and spreads,,,g,2,1,1,2,1,1,2,1,1,1,1,0,ž,-63,,
95,Non-carcase meat and meat products,Takeaway meats,,,g,83,57,65,55,62,66,63,46,69,58,62,56,,-19,,
9501,Non-carcase meat and meat products,Takeaway meats,Takeaway meat pies and pasties,,g,7,5,3,6,2,2,2,3,3,2,2,6,ž,+91,,
9502,Non-carcase meat and meat products,Takeaway meats,Takeaway burger and bun,,g,9,4,6,4,5,4,4,1,7,6,4,4,ž,-40,,
9503,Non-carcase meat and meat products,Takeaway meats,Takeaway kebabs,,g,8,8,9,6,5,8,9,4,8,8,10,6,ž,-30,,
9504,Non-carcase meat and meat products,Takeaway meats,Takeaway sausages and saveloys,,g,3,4,3,3,3,2,3,4,3,3,4,2,ž,-31,,
9505,Non-carcase meat and meat products,Takeaway meats,Takeaway meat based meals,,g,55,36,43,36,46,49,45,33,47,39,43,38,,-20,,
9506,Non-carcase meat and meat products,Takeaway meats,Takeaway miscellaneous meats,,g,0,0,0,1,0,0,0,0,0,0,0,0,ž,-49,,
100123,Fish, ,,,g,173,149,142,150,147,134,149,172,154,157,143,143,Ÿ,-7,,
102,Fish,"White fish, fresh, chilled or frozen",,,g,40,39,25,25,20,18,24,34,18,17,16,20,,+14,,
10201,Fish,"White fish, fresh, chilled or frozen","White fish, fresh or chilled",,g,21,19,15,13,12,11,17,23,11,13,11,14,ž,+32,,
10202,Fish,"White fish, fresh, chilled or frozen","White fish, frozen",,g,18,20,10,13,8,7,6,11,7,4,6,6,ž,-14,,
106,Fish,"Herrings and other blue fish, fresh, chilled or frozen",,,g,10,1,11,2,7,5,10,10,8,10,3,3,ž,-63,,m
10601,Fish,"Herrings and other blue fish, fresh, chilled or frozen","Herrings and other blue fish, fresh or chilled",,g,10,1,11,2,7,4,10,9,7,9,2,3,ž,-59,,
10602,Fish,"Herrings and other blue fish, fresh, chilled or frozen","Herrings and other blue fish, frozen",,g,1,0,0,0,0,0,0,2,1,1,1,0,ž,-100,,
107,Fish,"Salmon, fresh, chilled or frozen",,,g,9,8,7,15,8,8,9,5,11,6,7,11,ž,+6,,
10701,Fish,"Salmon, fresh, chilled or frozen","Salmon, fresh or chilled",,g,8,8,7,14,7,8,9,4,8,4,5,10,ž,+34,,
10702,Fish,"Salmon, fresh, chilled or frozen","Salmon, frozen",,g,1,1,1,1,2,0,0,1,3,2,2,1,ž,-73,,
10801,Fish,"Blue fish, dried or salted or smoked",,,g,5,7,5,3,5,4,6,6,4,7,5,6,ž,+35,,
11401,Fish,"White fish, dried, salted or smoked",,,g,2,4,3,4,3,1,5,7,3,2,2,1,ž,-63,,
117,Fish,Shellfish,,,g,10,9,6,7,9,11,8,13,9,11,11,9,ž,+2,,
11702,Fish,Shellfish,"Shellfish, fresh or chilled",,g,3,3,5,5,4,3,4,6,5,4,5,5,ž,-5,,
11703,Fish,Shellfish,"Shellfish, frozen",,g,7,6,2,2,5,8,4,7,3,6,6,4,ž,+14,,
11801,Fish,Takeaway fish,,,g,11,6,7,11,7,7,5,6,7,7,9,7,ž,+5,,
11901,Fish,"Salmon, tinned",,,g,12,9,8,9,5,6,6,9,7,8,4,3,ž,-61,yes,m
12001,Fish,Other tinned or bottled fish,,,g,34,34,27,32,37,27,31,28,25,31,29,23,,-8,,
12103,Fish,Ready meals and other fish products - frozen or not frozen,,,g,39,28,40,40,44,46,43,51,61,56,56,58,Ÿ,-4,,
123,Fish,Takeaway fish meals and fish products,,,g,1,3,1,1,1,1,2,1,2,2,1,1,ž,-34,,
12304,Fish,Takeaway fish meals and fish products,Takeaway fish products,,g,0,0,0,0,1,0,1,1,1,1,1,0,ž,-85,,
12305,Fish,Takeaway fish meals and fish products,Takeaway fish based meals,,g,1,2,1,1,1,1,2,0,1,2,1,1,ž,+23,,
12901,Eggs, ,,,no.,2,2,2,1,1,1,2,2,2,2,2,2,Ÿ,-3,,
135148,Fats, ,,,g,234,198,215,189,193,166,181,194,190,192,211,169,Ÿ,-11,,
13501,Fats,Butter,,,g,48,44,34,42,33,34,41,41,42,38,43,36,,-15,,
138,Fats,Margarine,,,g,12,7,10,10,28,20,19,32,38,33,44,28,,-27,,
13801,Fats,Margarine,Soft margarine,,g,12,6,10,6,25,18,17,25,34,31,41,23,ž,-32,,
13802,Fats,Margarine,Other margarine,,g,0,1,0,4,3,2,2,7,4,1,3,4,ž,+26,,
13901,Fats,"Lard, cooking fat",,,g,9,7,6,4,6,4,1,5,5,5,5,4,ž,-11,,
143,Fats,Vegetable and salad oils,,,ml,65,53,67,46,57,46,54,52,50,57,57,46,,-8,,
14304,Fats,Vegetable and salad oils,Olive oil,,ml,5,5,10,9,9,10,11,18,11,11,11,9,ž,-18,,
14305,Fats,Vegetable and salad oils,Other vegetable and salad oils,,ml,60,48,56,38,48,35,43,35,40,46,46,38,,-5,,
148,Fats,All other fats,,,g,99,87,98,87,70,63,66,63,55,59,62,54,,-1,,
14802,Fats,All other fats,Reduced fat spreads,,g,74,66,75,47,48,44,48,48,41,48,38,31,,-23,,
14803,Fats,All other fats,Low fat spreads,,g,16,14,14,29,17,13,12,10,9,7,14,12,ž,+39,,
14805,Fats,All other fats,Suet and dripping,,g,2,1,1,3,1,0,0,0,1,0,4,3,ž,+87,,
14807,Fats,All other fats,Imitatation cream,,g,6,5,8,7,4,5,5,5,4,4,6,8,ž,+107,,
150154,Sugar and preserves, ,,,g,173,164,146,165,148,115,121,132,143,165,175,113,,-21,,
15001,Sugar and preserves,Sugar,,,g,131,127,115,123,103,87,86,94,105,132,132,82,,-22,,
15101,Sugar and preserves,Jams and fruit curds,,,g,17,20,13,21,19,13,15,15,17,17,24,12,ž,-26,,
15201,Sugar and preserves,Marmalade,,,g,17,11,12,12,13,7,9,9,10,7,9,8,ž,-23,,
15301,Sugar and preserves,"Syrup, treacle",,,g,3,2,1,3,4,2,4,3,5,4,6,4,ž,-21,,
15401,Sugar and preserves,Honey,,,g,7,4,4,6,9,7,7,11,7,5,3,7,ž,+10,,
,"Fresh and processed fruit and vegetables, including potatoes", ,,,g,"3,301","3,098","3,049","3,100","3,369","3,097","3,208","3,582","3,000","3,006","3,091","2,851",ŸŸ,-5,,
cat730,"Fresh and processed vegetables, including potatoes", ,,,g,"2,283","2,072","1,997","2,016","2,166","1,926","2,005","2,222","1,929","1,848","2,101","1,902",Ÿ,-1,,
cat701,Fresh and processed potatoes, ,,,g,"1,182","1,001",971,921,"1,039",894,780,887,854,700,903,801,Ÿ,-6,,
155155,Fresh and processed potatoes,Fresh potatoes,,,g,863,710,686,640,718,614,499,674,579,444,580,561,Ÿ,-3,,
15505,Fresh and processed potatoes,Fresh potatoes,Fresh new potatoes (f),,g,,,,133,138,112,96,146,97,76,109,76,ž,-22,,
15506,Fresh and processed potatoes,Fresh potatoes,Fresh baking potatoes (f),,g,,,,69,49,49,46,58,55,65,59,39,,-28,,
15504,Fresh and processed potatoes,Fresh potatoes,Other fresh potatoes (f),,g,,,,437,531,453,357,470,427,303,412,446,Ÿ,+4,,
cat710,Fresh and processed potatoes,Processed potatoes,,,g,319,290,285,281,321,280,281,213,275,255,324,241,Ÿ,-13,,
197,Fresh and processed potatoes,Processed potatoes,Chips and takeaway chips,,g,189,161,170,148,184,168,158,105,163,141,208,134,Ÿ,-18,,
19702,Fresh and processed potatoes,Processed potatoes,,Chips - frozen or not frozen,g,127,118,122,102,141,125,115,74,120,104,167,103,,-14,,
19703,Fresh and processed potatoes,Processed potatoes,,Takeaway chips,g,62,42,49,46,43,43,43,30,43,37,41,31,,-27,,
19801,Fresh and processed potatoes,Processed potatoes,Instant potato,,g,3,2,1,3,2,1,2,3,2,0,2,1,ž,-77,,
19901,Fresh and processed potatoes,Processed potatoes,Canned potatoes,,g,9,9,8,7,4,2,3,3,1,4,9,4,ž,+183,,
20002,Fresh and processed potatoes,Processed potatoes,Crisps and potato snacks,,g,69,61,58,75,65,62,65,61,57,61,62,55,Ÿ,-5,,
20101,Fresh and processed potatoes,Processed potatoes,"Other potato products, frozen or not frozen",,g,50,58,48,48,66,47,53,42,51,48,42,47,,-7,,
cat811,"Fresh and processed fruit and vegetables, excluding potatoes", ,,,g,"2,119","2,098","2,078","2,179","2,330","2,203","2,427","2,695","2,146","2,306","2,188","2,049",Ÿ,-5,,
cat720,"Fresh and processed vegetables, excluding potatoes", ,,,g,"1,101","1,071","1,025","1,095","1,127","1,032","1,225","1,335","1,075","1,148","1,198","1,101",Ÿ,+2,,
162171,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,,,g,235,232,210,221,229,198,245,287,203,209,233,199,Ÿ,-2,,
16201,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Fresh cabbages,,g,53,50,44,35,51,34,55,65,46,36,62,29,,-37,yes,
16301,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Fresh brussels sprouts,,g,12,14,11,14,11,15,18,16,14,16,8,11,ž,-20,,
16401,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Fresh cauliflower,,g,69,78,64,75,77,60,79,86,63,69,58,74,,+17,,
167,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Leafy salads fresh,,g,63,50,55,58,59,55,60,66,52,51,58,50,Ÿ,-5,,
16701,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,,Lettuce and leafy salads,g,63,35,40,42,45,40,41,50,36,35,38,35,,-5,,
16702,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,,Prepared lettuce salads,g,,15,15,16,14,15,19,16,16,16,20,15,,-5,,
16801,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Fresh peas,,g,6,4,6,3,7,10,8,8,3,4,6,5,ž,+63,,
16901,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Fresh beans,,g,30,34,29,31,21,20,18,42,22,29,38,26,ž,+16,,
17101,"Fresh and processed vegetables, excluding potatoes",Fresh green vegetables,Other fresh green vegetables,,g,1,3,2,5,3,4,6,3,3,5,5,4,ž,+52,,
172183,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,,,g,479,485,478,503,517,490,592,658,514,552,561,554,Ÿ,+8,,
17201,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh carrots,,g,104,114,102,110,122,113,120,148,107,107,124,108,Ÿ,+1,,
17301,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh turnips and swede,,g,33,40,35,40,38,32,29,41,36,18,31,38,ž,+5,,
17401,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Other fresh root vegetables,,g,29,30,26,36,32,38,48,52,43,43,49,57,ž,+32,,
17501,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,"Fresh onions, leeks and shallots",,g,97,95,96,87,97,84,110,121,94,117,109,105,,+12,,
17601,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh cucumbers,,g,31,30,36,37,35,36,41,41,34,37,38,44,,+29,,
17701,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh mushrooms,,g,39,33,32,37,34,36,34,41,34,37,39,32,Ÿ,-7,,
17801,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Fresh tomatoes,,g,85,86,84,88,81,81,84,98,83,90,77,79,Ÿ,-5,,
183,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,Miscellaneous fresh vegtables,,g,60,58,67,68,78,69,125,115,83,104,94,91,,+9,,
18301,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,,"Fresh vegetable stewpack, stirfry pack etc.",g,15,14,17,19,23,21,55,34,29,38,21,30,,+0,,
18302,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,,Fresh stem vegetables,g,15,17,17,16,20,16,22,24,18,19,21,18,,+2,,
18303,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,,"Fresh marrow, courgettes, aubergine, pumpkin and other vegetables",g,25,23,31,30,32,30,42,53,34,40,48,40,,+17,,
18304,"Fresh and processed vegetables, excluding potatoes",Other fresh vegetables,,Fresh herbs,g,5,3,2,3,2,2,6,4,2,7,4,4,ž,+62,,
cat702,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,,,g,387,354,337,371,382,344,388,390,357,387,403,349,Ÿ,-2,,
18401,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,"Tomatoes, canned or bottled",,g,47,36,38,49,45,38,43,67,45,61,58,39,,-13,,
18501,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,"Peas, canned",,g,43,39,28,33,35,39,33,18,22,17,31,31,ž,+43,,
188,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Beans canned,,g,125,115,99,104,116,104,109,137,116,124,128,119,,+3,,
18802,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,,Baked beans in sauce,g,115,106,91,96,104,92,100,120,103,106,115,105,,+2,,
18803,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,,Other canned beans and pulses,g,10,9,8,8,12,12,9,17,13,18,14,14,ž,+7,,
19101,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Other canned vegetables,,g,27,19,25,27,21,25,27,22,20,15,22,15,ž,-25,,
19201,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Dried pulses other than air-dried,,g,3,4,6,3,4,2,10,5,6,7,6,5,ž,-21,,
19501,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Air-dried vegetables,,g,0,1,0,0,1,0,0,0,0,0,0,0,ž, ,,
196,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Vegetable juices and purees,,ml,9,7,5,8,3,3,5,8,9,4,9,4,ž,-53,,
19602,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,,Tomato puree and vegetable purees,ml,5,2,3,3,1,2,4,1,3,2,4,2,ž,-19,,
19603,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,,"Vegetable juices eg tomato juice, carrot juice",ml,4,5,2,4,2,1,2,7,7,2,4,2,ž,-68,,
20301,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,"Peas, frozen",,g,37,40,38,41,37,33,39,50,34,33,42,31,,-10,,
20401,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,"Beans, frozen",,g,8,6,4,7,8,6,11,4,8,3,3,8,ž,-3,,
206,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Ready meals and other vegetable products (inc takeaways),,g,49,52,55,59,66,55,60,55,60,75,63,61,,+2,,
20601,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,,"Ready meals and other vegetable products, frozen or not frozen",g,41,47,49,50,57,50,49,48,53,68,55,55,,+4,,
20604,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,,All vegetable takeaway products,g,8,5,6,9,9,5,10,7,6,7,8,6,ž,-11,,
20801,"Fresh and processed vegetables, excluding potatoes",Processed vegetables excluding processed potatoes,Other frozen vegetables,,g,38,34,38,41,47,38,50,22,39,48,41,36,ž,-6,,
cat810,Fresh and processed fruit, ,,,g,"1,018","1,026","1,053","1,084","1,203","1,171","1,203","1,360","1,071","1,158",990,949,Ÿ,-11,,m
210231,Fresh and processed fruit,Fresh fruit,,,g,683,710,698,790,816,772,798,959,748,759,691,654,Ÿ,-13,,
21001,Fresh and processed fruit,Fresh fruit,Fresh oranges,,g,52,50,53,61,66,54,49,67,47,45,40,50,ž,+6,,
