Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012
eo110401,Meat and meat products,Sausages and kebabs,,Kebabs - all types including chicken,g,2,2,2,1,3,3,1,1,2,1,1,1
eo110402,Meat and meat products,Sausages and kebabs,,"Plain sausages e.g. beef, pork",g,6,6,7,5,7,5,6,4,6,8,4,4
eo110403,Meat and meat products,Sausages and kebabs,,Other sausages,g,0,0,1,0,0,0,0,0,0,0,0,0
eo110404,Meat and meat products,Sausages and kebabs,,Hot dogs and sausage sandwiches,g,8,11,8,9,9,7,8,5,8,6,5,7
eo1105,Meat and meat products,Meat pies and sausage rolls,,,g,14,17,16,16,15,13,19,10,13,11,9,10
eo110501,Meat and meat products,Meat pies and sausage rolls,,Meat pies (pastry topped) and pasties,g,10,13,11,11,10,9,13,7,9,8,6,8
eo110502,Meat and meat products,Meat pies and sausage rolls,,Meat pies (potato topped e.g. shepherd's pie),g,1,0,1,1,1,1,0,0,1,0,1,0
eo110503,Meat and meat products,Meat pies and sausage rolls,,Sausage roll (pastry),g,3,3,4,4,4,4,5,3,3,3,3,3
eo1106,Meat and meat products,Casseroles,,,g,10,7,5,7,7,8,6,7,8,6,7,5
eo110601,Meat and meat products,Casseroles,,"Meat and vegetable stews, casseroles or hotpots",g,2,1,2,1,1,1,1,1,2,1,2,1
eo110602,Meat and meat products,Casseroles,,"Chicken or turkey stews, casseroles or hotpots",g,1,1,0,1,1,1,0,0,0,0,0,0
eo110603,Meat and meat products,Casseroles,,"Meat lasagne, cannelloni, moussaka and other meat-based oven baked dishes",g,8,5,3,5,5,6,5,5,5,5,5,5
eo1107,Meat and meat products,Pate,,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo1108,Meat and meat products,Other meat and meat products,,,g,3,2,2,3,2,3,3,3,3,3,1,2
eo120,Fish and fish products, ,,,g,15,15,13,12,15,15,13,13,17,15,14,11
eo1201,Fish and fish products,White fish,,,g,12,9,8,8,10,10,9,9,11,11,9,8
eo120101,Fish and fish products,White fish,,"White fish - grilled, steamed, baked or boiled - without sauce",g,1,1,1,1,1,1,1,1,2,1,1,1
eo120102,Fish and fish products,White fish,,White fish - fried (incl in batter/breadcrumbs) - without sauce,g,11,8,7,7,9,9,9,8,9,10,8,8
eo1202,Fish and fish products,Fatty fish,,,g,1,1,1,1,1,1,0,0,1,0,1,0
eo120201,Fish and fish products,Fatty fish,,"Trout, tuna and salmon only - fresh - without sauce or dressing",g,1,1,1,1,1,1,0,0,1,0,1,0
eo120202,Fish and fish products,Fatty fish,,"Other fatty fish - without sauce or dressing e.g. herring, mackerel, sardines",g,0,0,0,0,0,0,0,0,0,0,0,0
eo120301,Fish and fish products,"Shellfish - without sauce or dressing e.g. prawns, shrimps, oysters, crab",,,g,0,1,0,1,1,1,0,1,1,1,1,0
eo120401,Fish and fish products,Kippers and other smoked fish e.g. smoked salmon,,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo120501,Fish and fish products,"Other fish products and unspecified 'fish' e.g. squid, sushi, crabsticks",,,g,0,0,0,0,0,1,0,0,1,1,1,1
eo1206,Fish and fish products,Processed fish,,,g,1,3,3,2,3,2,3,2,4,2,2,1
eo120601,Fish and fish products,Processed fish,,"Fish, processed, in breadcrumbs (fish fingers, fish cakes, scampi) - without sauce or dressing",g,1,2,1,1,2,2,1,1,3,1,1,1
eo120602,Fish and fish products,Processed fish,,Fish burgers (in bun),g,0,0,0,0,0,0,0,0,0,0,0,0
eo120603,Fish and fish products,Processed fish,,"Fish based pie or other dish e.g. paella, kedgeree, tuna pasta bake",g,0,1,1,1,1,1,1,1,1,1,1,0
eo130,Cheese and egg dishes or pizza, ,,,g,21,21,22,20,20,23,16,18,19,23,20,18
eo1301,Cheese and egg dishes or pizza,Cheese,,,g,3,3,3,3,2,2,2,2,3,2,2,2
eo130101,Cheese and egg dishes or pizza,Cheese,,Cottage cheese including with pineapple,g,0,0,0,0,0,0,0,0,0,0,0,0
eo130102,Cheese and egg dishes or pizza,Cheese,,"Soft, continental or processed cheese e.g. brie",g,0,0,0,0,0,0,0,0,1,0,0,0
eo130103,Cheese and egg dishes or pizza,Cheese,,"Cheddar, blue or other hard cheese and unspecified 'cheese'",g,1,1,1,1,1,1,1,1,0,1,1,1
eo130104,Cheese and egg dishes or pizza,Cheese,,Quiche and cheese pies or pasties,g,2,1,2,2,1,1,1,0,1,1,0,1
eo130105,Cheese and egg dishes or pizza,Cheese,,"Other cheese dishes e.g. Welsh rarebit, cheese and biscuits",g,0,0,0,0,0,0,0,0,0,0,0,0
eo1302,Cheese and egg dishes or pizza,Pizza,,,g,12,14,12,13,12,15,9,11,11,12,13,11
eo130201,Cheese and egg dishes or pizza,Pizza,,"Pizza - cheese and tomato, vegetable or unspecified 'pizza'",g,9,12,11,11,11,14,8,7,7,9,10,9
