Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012
eo150503,Vegetables,Other vegetables and vegetable products,,Vegetables in batter or breadcrumbs and deep fried vegetables e.g. onion rings,g,1,1,1,1,0,0,1,2,0,1,0,1
eo150504,Vegetables,Other vegetables and vegetable products,,Onion and other vegetable bhajis and pakora,g,0,0,0,0,0,0,0,0,0,0,0,0
eo1506,Vegetables,Vegetarian dishes,,,g,4,7,6,3,5,6,6,5,6,2,6,5
eo150601,Vegetables,Vegetarian dishes,,"Veggie burger, bean burger, veggie sausage, nut roast",g,0,0,1,0,0,0,1,1,0,0,0,0
eo150602,Vegetables,Vegetarian dishes,,"Vegetable lasagne, vegetable cannelloni, vegetable moussaka and other oven baked vegetable based dishes",g,2,5,5,2,3,4,1,2,3,1,4,1
eo150603,Vegetables,Vegetarian dishes,,Stuffed vegetables (e.g. stuffed pepper) and vegetable based starter,g,0,0,0,0,1,0,0,0,0,0,0,0
eo150604,Vegetables,Vegetarian dishes,,Vegetable based stews and casseroles and vegetable based pies,g,2,1,1,1,1,1,4,2,2,1,1,3
eo160,Salads, ,,,g,12,15,11,17,21,15,11,11,10,13,10,10
eo1601,Salads,Green salads without dressing,,,g,8,10,7,9,12,8,6,5,6,7,6,5
eo160101,Salads,Green salads without dressing,,"Mixed salad, main course  - without dressing",g,2,1,0,0,1,0,0,0,1,0,0,0
eo160102,Salads,Green salads without dressing,,"Mixed salad, side dish - without dressing - including unspecified 'salad'",g,6,8,7,8,11,7,6,5,5,6,6,5
eo160103,Salads,Green salads without dressing,,Green salad - without dressing,g,1,1,0,1,0,0,0,0,0,0,0,0
eo1602,Salads,Green salads with dressing,,,g,1,0,0,0,1,1,0,1,1,1,1,0
eo160201,Salads,Green salads with dressing,,Vegetable or fruit and nut salad - with dressing,g,0,0,0,0,0,0,0,0,0,0,0,0
eo160202,Salads,Green salads with dressing,,"Pasta, rice, mixed bean or cereal-based salads - with dressing",g,1,0,0,0,1,1,0,1,1,1,1,0
eo1603,Salads,Meat or fish salads,,,g,3,3,3,6,6,6,3,3,1,3,2,4
eo160301,Salads,Meat or fish salads,,"Meat salad e.g. beef, lamb salads",g,1,1,1,1,2,2,1,1,0,1,0,1
eo160302,Salads,Meat or fish salads,,Chicken or turkey salad,g,1,1,2,2,2,1,1,0,1,1,1,2
eo160303,Salads,Meat or fish salads,,"Fish salad e.g. tuna, salmon salads",g,2,2,1,2,2,3,1,1,0,1,1,1
eo1604,Salads,Cheese or egg salads,,,g,0,1,0,1,1,0,1,2,1,1,1,1
