Code,Description,Sub-Description,,,Units,2001-02,2002-03,2003-04,2004-05,2005-06,2006,2007,2008,2009,2010,2011,2012
eo140105,Fresh and processed potatoes,Potatoes - roast,,,g,6,6,6,5,6,6,6,6,6,6,5,5
eo140106,Fresh and processed potatoes,"Sautéed potatoes, potato croquettes, hash browns etc.",,,g,2,2,2,1,2,1,2,1,1,1,1,1
eo140107,Fresh and processed potatoes,Baked or jacket potatoes - without filling,,,g,7,7,7,7,6,6,6,6,5,5,4,4
eo140108,Fresh and processed potatoes,"Other potato dishes (e.g. wedges, potato salad) including unspecified 'potato dish'",,,g,2,2,2,1,2,1,1,1,1,1,1,1
eo150,Vegetables, ,,,g,34,34,34,33,31,30,29,29,28,26,27,27
eo1501,Vegetables,Green vegetables,,,g,4,4,5,4,3,3,3,3,3,3,3,3
eo150101,Vegetables,Green vegetables,,Lettuce and cress,g,0,0,0,0,0,0,0,0,0,0,0,0
eo150102,Vegetables,Green vegetables,,"Other green vegetables (e.g. spinach, cabbage, sprouts)",g,4,4,4,4,3,3,3,3,3,3,3,3
eo1502,Vegetables,Other fresh vegetables,,,g,15,14,14,13,13,12,11,12,12,10,11,10
eo150201,Vegetables,Other fresh vegetables,,Peppers - raw or cooked,g,0,0,0,0,0,0,0,0,0,0,0,0
eo150202,Vegetables,Other fresh vegetables,,"Courgettes, marrow, aubergine, pumpkin, plantain, cucumbers",g,0,0,0,0,0,0,0,0,0,0,0,0
eo150203,Vegetables,Other fresh vegetables,,Peas and sweetcorn,g,6,5,5,5,5,5,4,4,4,4,4,3
eo150204,Vegetables,Other fresh vegetables,,Baked beans and other beans (not green beans) and pulses,g,7,7,7,7,6,6,6,6,6,5,5,5
eo150205,Vegetables,Other fresh vegetables,,Tomato - fresh or raw,g,1,0,1,0,1,1,0,0,1,0,0,1
eo150206,Vegetables,Other fresh vegetables,,Tomato - cooked or processed,g,1,1,2,1,1,1,1,1,1,1,1,1
eo1503,Vegetables,Root vegetables,,,g,4,3,3,3,3,3,3,3,3,2,2,2
eo150301,Vegetables,Root vegetables,,Carrots,g,3,3,2,3,2,2,2,2,2,2,2,1
eo150302,Vegetables,Root vegetables,,"Onions - raw, cooked or unspecified 'onions'",g,0,0,0,0,0,0,0,0,0,0,0,0
eo150303,Vegetables,Root vegetables,,Onions - fried,g,0,0,0,0,0,0,0,0,0,0,0,0
eo150304,Vegetables,Root vegetables,,"Other root vegetables or tubers (e.g. turnip, parsnip, radish, beetroot)",g,1,0,0,0,0,0,0,0,1,0,0,0
eo1504,Vegetables,Mushrooms,,,g,1,1,1,1,1,1,1,1,1,1,1,1
eo1505,Vegetables,Other vegetables and vegetable products,,,g,4,5,5,5,6,5,5,5,5,5,5,6
eo150501,Vegetables,Other vegetables and vegetable products,,Mixed vegetables or unspecified 'vegetable',g,3,4,4,4,4,5,4,4,4,4,4,5
eo150502,Vegetables,Other vegetables and vegetable products,,"Other vegetables (e.g. artichoke, asparagus)",g,0,0,0,0,0,0,0,0,0,0,0,0
eo150503,Vegetables,Other vegetables and vegetable products,,Vegetables in batter or breadcrumbs and deep fried vegetables (e.g. onion rings),g,1,1,1,1,1,1,1,1,1,1,1,1
eo150504,Vegetables,Other vegetables and vegetable products,,Onion and other vegetable bhajis and pakora,g,0,0,0,0,0,0,0,0,0,0,0,0
eo1506,Vegetables,Vegetarian dishes,,,g,5,7,5,6,5,5,6,6,5,4,5,5
eo150601,Vegetables,Vegetarian dishes,,"Veggie burger, bean burger, veggie sausage, nut roast",g,1,0,0,0,0,0,0,0,0,0,0,0
eo150602,Vegetables,Vegetarian dishes,,"Vegetable lasagne, vegetable cannelloni, vegetable moussaka and other oven baked vegetable based dishes",g,3,4,3,3,3,3,3,3,3,3,3,3
eo150603,Vegetables,Vegetarian dishes,,Stuffed vegetables (e.g. stuffed pepper) and vegetable based starter,g,0,0,0,0,0,0,0,0,0,0,0,0
eo150604,Vegetables,Vegetarian dishes,,Vegetable based stews and casseroles and vegetable based pies,g,2,2,2,2,2,1,2,2,1,1,1,2
eo160,Salads, ,,,g,16,17,18,20,20,19,17,19,17,17,16,17
eo1601,Salads,Green salads without dressing,,,g,10,10,10,10,10,11,9,10,9,9,9,9
eo160101,Salads,Green salads without dressing,,"Mixed salad, main course  - without dressing",g,1,1,1,0,1,1,1,1,1,1,1,1
eo160102,Salads,Green salads without dressing,,"Mixed salad, side dish - without dressing - including unspecified 'salad'",g,7,7,9,9,9,10,8,8,8,8,7,8
eo160103,Salads,Green salads without dressing,,Green salad - without dressing,g,2,1,1,1,0,0,0,0,0,0,0,0
eo1602,Salads,Green salads with dressing,,,g,1,1,1,1,1,1,1,1,1,1,1,1
eo160201,Salads,Green salads with dressing,,Vegetable or fruit and nut salad - with dressing,g,0,0,0,0,0,0,0,0,0,0,0,0
eo160202,Salads,Green salads with dressing,,"Pasta, rice, mixed bean or cereal-based salads - with dressing",g,1,1,1,1,1,1,1,1,1,1,1,0
eo1603,Salads,Meat or fish salads,,,g,4,5,6,6,6,5,5,5,5,5,4,5
eo160301,Salads,Meat or fish salads,,"Meat salad (e.g. beef, lamb salads)",g,1,1,1,1,1,1,1,1,1,1,1,1
eo160302,Salads,Meat or fish salads,,Chicken or turkey salad,g,2,2,2,3,2,2,2,2,2,2,2,2
eo160303,Salads,Meat or fish salads,,"Fish salad (e.g. tuna, salmon salads)",g,2,2,2,2,2,2,2,2,2,2,2,2
eo1604,Salads,Cheese or egg salads,,,g,1,1,1,2,2,1,1,1,1,1,1,1
eo160401,Salads,Cheese or egg salads,,Cheese salad including ploughmans,g,1,1,1,2,2,1,1,1,1,1,1,1
eo160402,Salads,Cheese or egg salads,,Egg salad,g,0,0,0,0,0,0,0,0,0,0,0,0
eo160501,Salads,"Other salads (e.g. Greek, Florida, Russian)",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo160601,Salads,Salad buffet or buffet meal where items not specified,,,g,0,0,0,1,1,1,1,3,1,1,1,1
eo170,"Rice, pasta or noodles", ,,,g,15,15,14,15,15,15,14,14,14,15,15,14
eo170101,"Rice, pasta or noodles",Fried rice and risotto,,,g,2,2,2,2,2,2,2,2,2,2,1,2
eo170102,"Rice, pasta or noodles","All cooked rice exluding fried rice (e.g. boiled, pilau, savoury)",,,g,6,6,6,6,6,6,6,6,6,6,6,7
eo170103,"Rice, pasta or noodles",Pasta - not filled and plain noodles (including pot noodle) - without sauce,,,g,5,5,5,5,5,5,6,5,5,5,6,5
eo170104,"Rice, pasta or noodles","Pasta - filled (e.g. ravioli, tortellini - without sauce)",,,g,1,0,1,1,1,1,1,0,1,1,1,1
eo170105,"Rice, pasta or noodles","Noodles with meat, vegetables etc.",,,g,1,1,1,1,0,1,1,1,0,1,1,1
eo180,Soups, ,,,g,10,11,10,10,11,10,10,10,9,8,10,9
eo180101,Soups,Meat & fish soups,,,g,1,1,1,1,1,1,1,1,1,1,1,1
eo180102,Soups,Vegetable based soups,,,g,5,5,4,4,4,4,4,4,4,4,4,3
eo180103,Soups,"Chinese soups, consommé (meat, fish or veg)",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo180104,Soups,Other soups including unspecified 'soup',,,g,4,4,5,5,5,5,5,5,3,4,5,5
eo190,Breakfast cereals, ,,,g,0,0,0,0,0,0,1,0,1,0,1,1
eo190101,Breakfast cereals,Muesli and oat crunch cereals,,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo190102,Breakfast cereals,"Other high fibre breakfast cereals (e.g. Allbran, Weetabix)",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo190103,Breakfast cereals,"Sweetened breakfast cereals (e.g. Frosties, Sugar Puffs)",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo190104,Breakfast cereals,"Hot breakfast cereals (e.g. porridge, Ready Brek)",,,g,0,0,0,0,0,0,0,0,0,0,0,1
eo190105,Breakfast cereals,"Other breakfast cereals and unspecified 'cereal' (e.g. Cornflakes, Rice Krispies, Special K)",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo200,Fresh and processed fruit, ,,,g,10,10,11,13,14,15,14,13,12,12,12,11
eo2001,Fresh and processed fruit,Fresh fruit,,,g,9,10,11,13,14,15,14,12,12,12,12,11
eo200101,Fresh and processed fruit,Fresh fruit,,"All citrus fruit, fresh (e.g. orange, grapefruit)",g,1,1,1,1,1,1,1,1,0,1,1,0
eo200102,Fresh and processed fruit,Fresh fruit,,"Banana, fresh",g,2,2,2,2,2,2,2,2,1,1,1,1
eo200103,Fresh and processed fruit,Fresh fruit,,"Apples, fresh",g,2,2,2,2,2,2,2,2,1,1,1,1
eo200104,Fresh and processed fruit,Fresh fruit,,"Pears, fresh",g,0,0,0,0,0,0,0,0,0,0,0,0
eo200105,Fresh and processed fruit,Fresh fruit,,"Stone fruit, fresh (e.g. apricot, plum, peach, cherry, avocado)",g,1,0,1,1,1,1,1,0,1,0,1,1
eo200106,Fresh and processed fruit,Fresh fruit,,"Grapes, fresh",g,0,0,0,0,0,0,0,0,0,0,0,0
eo200107,Fresh and processed fruit,Fresh fruit,,"Soft fruit or berries, fresh (e.g. strawberries, blackberries) - without cream or ice cream)",g,0,0,0,0,0,0,0,0,0,0,0,0
eo200108,Fresh and processed fruit,Fresh fruit,,"Melon, fresh",g,1,0,1,1,1,1,1,1,0,0,0,0
eo200109,Fresh and processed fruit,Fresh fruit,,"Pineapple, fresh",g,0,0,0,0,0,0,0,1,0,0,0,0
eo200110,Fresh and processed fruit,Fresh fruit,,Fresh fruit salad - without cream or ice cream,g,1,1,1,1,2,2,1,1,1,1,1,1
eo200111,Fresh and processed fruit,Fresh fruit,,"Other fresh fruit (e.g. kiwi, passion) and unspecified 'fruit'",g,0,0,0,0,0,0,0,0,0,0,0,0
eo200112,Fresh and processed fruit,Fresh fruit,,Free school fruit,g,1,1,3,5,5,5,6,4,5,5,5,5
eo200201,Fresh and processed fruit,"Dried fruit (e.g. sultanas, raisins)",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo200301,Fresh and processed fruit,"Tinned, stewed, baked or processed fruit - without cream or ice cream",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo210,Yoghurt and fromage frais, ,,,g,3,3,3,3,3,3,3,2,2,2,2,2
eo220,Bread, ,,,g,9,9,9,8,8,8,8,8,7,7,7,7
eo220101,Bread,"White bread, with or without butter or margarine (toasted or untoasted)",,,g,3,3,4,3,3,3,3,2,3,2,1,1
eo220102,Bread,"Brown or wholemeal bread, with or without butter or margarine (toasted or untoasted)",,,g,0,0,1,1,1,1,1,1,1,1,1,0
eo220103,Bread,"White rolls, baguettes etc. without butter or margerine (or butter or margerine not specified)",,,g,2,2,2,2,2,1,1,1,1,1,1,0
eo220104,Bread,"Brown or wholemeal rolls, baguettes etc. without butter or margerine (or butter or margerine not specified)",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo220105,Bread,Garlic bread,,,g,1,1,1,1,1,1,1,1,1,1,1,1
eo220106,Bread,Croissant,,,g,0,1,0,1,1,0,1,0,1,0,0,1
eo220107,Bread,"Continental breads (e.g. pitta, ciabatta, focaccio)",,,g,1,1,1,1,1,1,1,1,1,1,1,1
eo220108,Bread,"Muffins, crumpets",,,g,1,0,0,0,0,0,0,0,0,0,0,0
eo220109,Bread,"Fried bread, including croutons",,,g,0,0,0,0,0,0,0,0,0,0,0,0
eo220110,Bread,"Other bread, rolls, toast, unspecified 'bread' etc.",,,g,0,0,0,0,0,0,0,0,0,0,2,3
eo230,Sandwiches, ,,,g,83,86,84,81,80,78,76,73,67,67,64,63
eo2301,Sandwiches,Meat or fish based sandwiches,,,g,56,57,56,51,51,48,45,44,40,42,38,38
eo230101,Sandwiches,Meat or fish based sandwiches,,Meat based sandwich on white bread or roll,g,23,22,20,18,18,17,16,16,14,13,8,5
eo230102,Sandwiches,Meat or fish based sandwiches,,Meat based sandwich on brown bread or roll,g,4,3,3,4,3,4,4,4,4,4,3,1
eo230103,Sandwiches,Meat or fish based sandwiches,,Meat based sandwich bread not specified,g,0,0,1,1,0,0,0,0,1,2,6,10
eo230104,Sandwiches,Meat or fish based sandwiches,,Chicken or turkey based sandwich on white bread or roll,g,13,14,13,12,13,12,11,12,9,10,6,5
eo230105,Sandwiches,Meat or fish based sandwiches,,Chicken or turkey based sandwich on brown bread or roll,g,3,3,3,3,4,3,3,3,3,3,2,1
eo230106,Sandwiches,Meat or fish based sandwiches,,Chicken or turkey based sandwich bread not specified,g,0,0,0,0,0,0,0,0,0,1,4,7
eo230107,Sandwiches,Meat or fish based sandwiches,,Bacon and egg based sandwich on white bread or roll including Bacon and Egg McMuffin,g,2,2,3,2,2,2,2,2,2,1,1,1
eo230108,Sandwiches,Meat or fish based sandwiches,,Bacon and egg based sandwich on brown bread or roll,g,0,0,0,0,0,0,0,0,0,0,0,0
eo230109,Sandwiches,Meat or fish based sandwiches,,Bacon and egg based sandwich bread not specified,g,0,0,0,0,0,0,0,0,0,0,1,1
eo230110,Sandwiches,Meat or fish based sandwiches,,Fish based sandwich on white bread or roll,g,7,8,7,7,7,6,6,5,5,4,3,2
eo230111,Sandwiches,Meat or fish based sandwiches,,Fish based sandwich on brown bread or roll,g,3,3,4,4,3,3,3,3,3,2,2,1
eo230112,Sandwiches,Meat or fish based sandwiches,,Fish based sandwich bread not specified,g,0,0,0,0,0,0,0,0,0,1,2,3
eo2302,Sandwiches,Other savoury or sweet sandwiches,,,g,27,29,29,30,29,30,30,29,27,25,26,26
eo230201,Sandwiches,Other savoury or sweet sandwiches,,Cheese based sandwich on white bread or roll,g,13,12,10,10,9,9,8,8,7,6,4,2
eo230202,Sandwiches,Other savoury or sweet sandwiches,,Cheese based sandwich on brown bread or roll,g,3,3,2,2,2,2,3,2,2,2,2,1
eo230203,Sandwiches,Other savoury or sweet sandwiches,,Cheese based sandwich bread not specified,g,0,0,0,0,0,0,0,0,0,1,3,5
eo230204,Sandwiches,Other savoury or sweet sandwiches,,Egg based sandwich on white bread or roll including Egg McMuffin,g,4,4,4,3,3,3,3,2,2,2,1,1
eo230205,Sandwiches,Other savoury or sweet sandwiches,,Egg based sandwich on brown bread or roll,g,1,1,1,1,1,1,1,1,1,1,1,1
eo230206,Sandwiches,Other savoury or sweet sandwiches,,Egg based sandwich bread not specified,g,0,0,0,0,0,0,0,0,0,0,1,1
